sObject,extID,name,src_ID,dest_ID
Exchange_Rate__c,&2AQKMAa000000I141a,ER-0000000001,a141I000000aAMKQA2,#2AQKMAa000000I141a
Process_Job__C,&WAUNvZH000000I1A2a,Apply Payments,a2A1I000000HZvNUAW,a2A1I000000VHlmUAG
Process_Job__C,&WAUOvZH000000I1A2a,AccountingEntry Void Batch,a2A1I000000HZvOUAW,a2A1I000000VHlnUAG
Process_Job__C,&WAUPvZH000000I1A2a,MRP Planning,a2A1I000000HZvPUAW,a2A1I000000VHloUAG
Process_Job__C,&WAUQvZH000000I1A2a,MRP Item Leveling,a2A1I000000HZvQUAW,a2A1I000000VHlpUAG
Process_Job__C,&WAURvZH000000I1A2a,Customer Invoicing With Grouping Rules,a2A1I000000HZvRUAW,a2A1I000000VHlqUAG
Process_Job__C,&WAUSvZH000000I1A2a,Customer Invoice Accounting,a2A1I000000HZvSUAW,a2A1I000000VHlrUAG
Process_Job__C,&WAUTvZH000000I1A2a,Payment Accounting,a2A1I000000HZvTUAW,a2A1I000000VHlsUAG
Process_Job__C,&WAUUvZH000000I1A2a,Invoice Accounting,a2A1I000000HZvUUAW,a2A1I000000VHltUAG
Process_Job__C,&WAUVvZH000000I1A2a,Customer Receipt Accounting,a2A1I000000HZvVUAW,a2A1I000000VHluUAG
Process_Job__C,&WAUWvZH000000I1A2a,DTP Batch,a2A1I000000HZvWUAW,a2A1I000000VHlvUAG
Process_Job__C,&WAUXvZH000000I1A2a,PO Receipt Accounting,a2A1I000000HZvXUAW,a2A1I000000VHlwUAG
Process_Job__C,&WAUYvZH000000I1A2a,Supplier Invoice Accounting,a2A1I000000HZvYUAW,a2A1I000000VHlxUAG
Process_Job__C,&WAUZvZH000000I1A2a,Supplier Payment Accounting,a2A1I000000HZvZUAW,a2A1I000000VHlyUAG
Process_Job__C,&GAUavZH000000I1A2a,Journal Entry Accounting,a2A1I000000HZvaUAG,a2A1I000000VHlzUAG
Process_Job__C,&GAUbvZH000000I1A2a,Fixed Asset Depreciation,a2A1I000000HZvbUAG,a2A1I000000VHm0UAG
Process_Job__C,&GAUcvZH000000I1A2a,Fixed Asset Depreciation Accounting,a2A1I000000HZvcUAG,a2A1I000000VHm1UAG
Process_Job__C,&GAUdvZH000000I1A2a,Fixed Asset Adjustment Accounting,a2A1I000000HZvdUAG,a2A1I000000VHm2UAG
Process_Job__C,&GAUevZH000000I1A2a,Inventory Change Accounting,a2A1I000000HZveUAG,a2A1I000000VHm3UAG
Process_Job__C,&GAUfvZH000000I1A2a,Sales Order Automation,a2A1I000000HZvfUAG,a2A1I000000VHm4UAG
Process_Job__C,&GAUgvZH000000I1A2a,Purchase Order Automation,a2A1I000000HZvgUAG,a2A1I000000VHm5UAG
Process_Job__C,&GAUhvZH000000I1A2a,Receiving Doc Automation,a2A1I000000HZvhUAG,a2A1I000000VHm6UAG
Process_Job__C,&GAUivZH000000I1A2a,Shipment Order Automation,a2A1I000000HZviUAG,a2A1I000000VHm7UAG
Process_Job__C,&GAUjvZH000000I1A2a,Supplier Invoice Automation,a2A1I000000HZvjUAG,a2A1I000000VHm8UAG
