Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Accounting_Standard__c,Allocation_Type__c,Allocation__c,Amount_Reference__c,Autonumber__c,Company_Identifier__c,Company_Ledger__c,Company__c,Consolidation_Ledger__c,Default_GL_Account__c,Default_Intercompany__c,Effective_End_Date__c,Effective_Start_Date__c,Expected_Sign__c,ExtId__c,FX_Date_Path__c,FX_Flow__c,GL_Account_Identifier__c,GL_Account_Reference_Value__c,GL_Account__c,Intercompany_Reference_Value__c,Intercompany__c,Line_Type__c,Object_Name__c,Object__c,Raise_Exceptions_for_Blank_Amounts__c,Role__c,Rule_Type__c,Statutory_Ledger__c,SubTransaction_Type__c,Subsidiary_Ledger__c,Suppress_Zero_Amount_Lines__c,Transaction__c,Unique_Key__c
a071I000001oKytQAE,0051I000000r0mDQAQ,False,AR-0000000067,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000067,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQwat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense,False,False,Invoice,a081I000000yNVYQA2|Supplier_Invoice__c||Invoice|Expense||DR|352904135|2015-09-01 04:04:12
a071I000001oKyuQAE,0051I000000r0mDQAQ,False,AR-0000000068,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000068,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQxat9100000I170a,,,,,a1I1I000001NHcVUAW,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense,False,False,Invoice,a081I000000yNVYQA2|Supplier_Invoice__c||Invoice|Expense||CR|352904135|2015-09-01 04:04:12
a071I000001oKyvQAE,0051I000000r0mDQAQ,False,AR-0000000069,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Purchase_Price__c,0000000069,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQyat9100000I170a,,,,,a1I1I000001NHcXUAW,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Expense - Purchase Order||DR|-704566336|2015-09-01 04:04:12
a071I000001oKywQAE,0051I000000r0mDQAQ,False,AR-0000000070,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Purchase_Price__c,0000000070,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQzat9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Expense - Purchase Order||CR|-704566336|2015-09-01 04:04:12
a071I000001oKyxQAE,0051I000000r0mDQAQ,False,AR-0000000071,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000071,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ0bt9100000I170a,,,,Item__r.Class__r.Expense_GL_Account__c,,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Expense - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Expense - Purchase Order||DR|352904135|2015-09-01 04:04:12
a071I000001oKyyQAE,0051I000000r0mDQAQ,False,AR-0000000072,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000072,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ1bt9100000I170a,,,,,a1I1I000001NHcVUAW,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Expense - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Expense - Purchase Order||CR|352904135|2015-09-01 04:04:12
a071I000001oKyzQAE,0051I000000r0mDQAQ,False,AR-0000000073,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Purchase_Price__c,0000000073,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ2bt9100000I170a,,,,,a1I1I000001NHcXUAW,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Goods - Purchase Order||DR|-704566336|2015-09-01 04:04:12
a071I000001oKz0QAE,0051I000000r0mDQAQ,False,AR-0000000074,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Purchase_Price__c,0000000074,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ3bt9100000I170a,,,,,a1I1I000001NHe7UAG,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Goods - Purchase Order||CR|-704566336|2015-09-01 04:04:12
a071I000001oKz1QAE,0051I000000r0mDQAQ,False,AR-0000000075,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000075,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ4bt9100000I170a,,,,,a1I1I000001NHe7UAG,,,,Supplier_Invoice__c,Supplier Invoice,False,,DR,False,Goods - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Goods - Purchase Order||DR|352904135|2015-09-01 04:04:12
a071I000001oKz2QAE,0051I000000r0mDQAQ,False,AR-0000000076,2017-12-07T17:53:21.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,0051I000000r0mDQAQ,2017-12-07T17:53:22.000+0000,,,a081I000000yNVYQA2,,,Extended_Price__c,0000000076,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&AAQ5bt9100000I170a,,,,,a1I1I000001NHcVUAW,,,,Supplier_Invoice__c,Supplier Invoice,False,,CR,False,Goods - Purchase Order,False,False,Credit Memo,a081I000000yNVYQA2|Supplier_Invoice__c||Credit Memo|Goods - Purchase Order||CR|352904135|2015-09-01 04:04:12
