Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Account_Range_From__c,Account_Range_To__c,Active__c,Cash_Flow_Report_Cash__c,Cash_Flow_Report_Financing_Activity__c,Cash_Flow_Report_Investing_Activity__c,Cash_Flow_Report_Operating_Activity__c,Cash_Flow_Report_Section_Grouping__c,Cash_Flow_Subsection__c,Contra_Account__c,Description__c,ExtId__c,FX_Type__c,GL_Account_Name__c,GL_Account_Number__c,GL_Account_Unique__c,GL_Group__c,GL_Type_Code__c,GL_Type__c,Include_in_Budgets__c,Income_Statement_Report_Section_Grouping__c,Non_Cash__c,Normal_Balance__c,Order__c,Parent_GL_Account_Number__c,Report_Section_Grouping__c,Report_Section__c,Report_Sub_Section__c,Reports__c,Statement_Type__c,SubAccount_of__c,Type__c
a1I1I000001NHcGUAW,0051I000000r0mDQAQ,False,160499 - FA Clearing Account,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,,,,,True,False,,,,,,False,FA Clearing Account,&IAUxMk1000000I1I1a,Non-monetary,FA Clearing Account,160499,160499 - FA Clearing Account,160499 - FA Clearing Account,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcHUAW,0051I000000r0mDQAQ,False,160500 - Construction In Progress,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,False,Construction In Progress,&IAUyMk1000000I1I1a,Non-monetary,Construction In Progress,160500,160500 - Construction In Progress,160500 - Construction In Progress,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcIUAW,0051I000000r0mDQAQ,False,165000 - Organization Costs,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,False,Organization Costs,&IAUzMk1000000I1I1a,Non-monetary,Organization Costs,165000,165000 - Organization Costs,165000 - Organization Costs,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcJUAW,0051I000000r0mDQAQ,False,165100 - Notes Receivable - Long-term,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,False,Notes Receivable - Long-term,&IAU0Nk1000000I1I1a,Non-monetary,Notes Receivable - Long-term,165100,165100 - Notes Receivable - Long-term,165100 - Notes Receivable - Long-term,,a1J1I000001AuVQUA0,False,,False,Credit,,,,,,,Balance Sheet,,Assets
a1I1I000001NHcKUAW,0051I000000r0mDQAQ,False,165200 - Interco Investments,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,False,Interco Investments,&IAU1Nk1000000I1I1a,Historical,Interco Investments,165200,165200 - Interco Investments,165200 - Interco Investments,,a1J1I000001AuVQUA0,False,,False,Credit,,,,,,,Balance Sheet,,Assets
a1I1I000001NHcLUAW,0051I000000r0mDQAQ,False,165300 - Other Non-current Assets,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,False,Other Non-current Assets,&IAU2Nk1000000I1I1a,Non-monetary,Other Non-current Assets,165300,165300 - Other Non-current Assets,165300 - Other Non-current Assets,,a1J1I000001AuVQUA0,False,,False,Credit,,,,,,,Balance Sheet,,Assets
a1I1I000001NHcMUAW,0051I000000r0mDQAQ,False,170000 - Accumulated Depreciation - Furniture and Fixtures,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,True,Accumulated Depreciation - Furniture and Fixtures,&IAU3Nk1000000I1I1a,Non-monetary,Accumulated Depreciation - Furniture and Fixtures,170000,170000 - Accumulated Depreciation - Furniture and Fixtures,170000 - Accumulated Depreciation - Furniture and Fixtures,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcNUAW,0051I000000r0mDQAQ,False,171000 - Accumulated Depreciation - Equipment,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,True,Accumulated Depreciation - Equipment,&IAU4Nk1000000I1I1a,Non-monetary,Accumulated Depreciation - Equipment,171000,171000 - Accumulated Depreciation - Equipment,171000 - Accumulated Depreciation - Equipment,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcOUAW,0051I000000r0mDQAQ,False,172000 - Accumulated Depreciation - Computer Hardware,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,True,Accumulated Depreciation - Computer Hardware,&IAU5Nk1000000I1I1a,Non-monetary,Accumulated Depreciation - Computer Hardware,172000,172000 - Accumulated Depreciation - Computer Hardware,172000 - Accumulated Depreciation - Computer Hardware,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
a1I1I000001NHcPUAW,0051I000000r0mDQAQ,False,173000 - Accumulated Depreciation - Computer Software,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:34.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:35.000+0000,,,,,True,False,,,,,,True,Accumulated Depreciation - Computer Software,&IAU6Nk1000000I1I1a,Non-monetary,Accumulated Depreciation - Computer Software,173000,173000 - Accumulated Depreciation - Computer Software,173000 - Accumulated Depreciation - Computer Software,,a1J1I000001AuVQUA0,False,,False,,,,,,,,,,
