Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Active__c,Apex_Class__c,Batch_Size__c,Company__c,Days_Ahead__c,Description__c,Exception__c,ExtId__c,Facility__c,Frequency__c,Interval__c,Last_Run__c,Max_Records__c,Namespace__c,Next_Run__c,Preferred_Run_Hour__c,Process_Job_Next__c,Queueable_Id__c,Un_Scheduled__c
a2A1I000000VHlmUAG,0051I000000r0mDQAQ,False,Apply Payments,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,ApplyPaymentsBatch,25.0,a0g1I000000ue07QAA,,Selects all customer invoices which are changed and pulls the list of Payment Details to sum up,,&WAUNvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHlnUAG,0051I000000r0mDQAQ,False,AccountingEntry Void Batch,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,AccountingEntryVoidBatch,25.0,a0g1I000000ue07QAA,,Regenerates the reversal accounting entries for source docs which are voided and Accrual journal entries,,&WAUOvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHloUAG,0051I000000r0mDQAQ,False,MRP Planning,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,GenerateMRP.Planning,25.0,a0g1I000000ue07QAA,,"Perform all material planning steps, including all outstanding SO demand, PO supply and item inventory, work in process and generate a consolidated plan for this company",,&WAUPvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHlpUAG,0051I000000r0mDQAQ,False,MRP Item Leveling,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,GenerateMRP.ItemLevel,25.0,a0g1I000000ue07QAA,,"Ensure that each item in the item database has the correct item level information, this step is required prior to MRP demand generation whenever new items are added or item components or item assemblies are modified.",,&WAUQvZH000000I1A2a,,Weeks,1.0,,,,,,,,False
a2A1I000000VHlqUAG,0051I000000r0mDQAQ,False,Customer Invoicing With Grouping Rules,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,CustomerInvoiceBatch,25.0,a0g1I000000ue07QAA,,Generates customer invoices based on grouping rules for the given company.,,&WAURvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHlrUAG,0051I000000r0mDQAQ,False,Customer Invoice Accounting,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,CustomerInvoiceAccountingBatch,25.0,a0g1I000000ue07QAA,,"Generates accounting entries for all customer invoices, that are finalized but not yet accounted for, for the given company",,&WAUSvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHlsUAG,0051I000000r0mDQAQ,False,Payment Accounting,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,PaymentAccountingBatch,25.0,a0g1I000000ue07QAA,,"Generates accounting entries for all Payments, that are finalized but not yet accounted, for the given company.",,&WAUTvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHltUAG,0051I000000r0mDQAQ,False,Invoice Accounting,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,InvoiceAccountingBatch,25.0,a0g1I000000ue07QAA,,"Generates accounting entries for all Invoices, that are finalized but not yet accounted, for the given company.",,&WAUUvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHluUAG,0051I000000r0mDQAQ,False,Customer Receipt Accounting,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,CustomerReceiptAccountingBatch,25.0,a0g1I000000ue07QAA,,"Generates accounting entries for all customer receipts, which are finalized but not yet accounted for, for the given company.",,&WAUVvZH000000I1A2a,,Days,1.0,,,,,,,,False
a2A1I000000VHlvUAG,0051I000000r0mDQAQ,False,DTP Batch,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,0051I000000r0mDQAQ,2017-12-07T19:54:21.000+0000,False,DTPBatch,1.0,a0g1I000000ue07QAA,,Days to Pay Batch job which updates DTPForecast date on all open customer Invoices used for Cashforecasting reports,,&WAUWvZH000000I1A2a,,Days,1.0,,,,,,,,False
