Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,KSPRING17__Accounting_Standard__c,KSPRING17__Allocation_Type__c,KSPRING17__Allocation__c,KSPRING17__Amount_Reference__c,KSPRING17__Autonumber__c,KSPRING17__Company_Identifier__c,KSPRING17__Company_Ledger__c,KSPRING17__Company__c,KSPRING17__Consolidation_Ledger__c,KSPRING17__Default_GL_Account__c,KSPRING17__Default_Intercompany__c,KSPRING17__Effective_End_Date__c,KSPRING17__Effective_Start_Date__c,KSPRING17__Expected_Sign__c,KSPRING17__ExtId__c,KSPRING17__FX_Date_Path__c,KSPRING17__FX_Flow__c,KSPRING17__GL_Account_Identifier__c,KSPRING17__GL_Account_Reference_Value__c,KSPRING17__GL_Account__c,KSPRING17__Intercompany_Reference_Value__c,KSPRING17__Intercompany__c,KSPRING17__Line_Type__c,KSPRING17__Object_Name__c,KSPRING17__Object__c,KSPRING17__Raise_Exceptions_for_Blank_Amounts__c,KSPRING17__Role__c,KSPRING17__Rule_Type__c,KSPRING17__Statutory_Ledger__c,KSPRING17__SubTransaction_Type__c,KSPRING17__Subsidiary_Ledger__c,KSPRING17__Suppress_Zero_Amount_Lines__c,KSPRING17__Transaction__c,KSPRING17__Unique_Key__c
a071I000001B7vyQAC,0051I000000RRW1QAO,False,AR-0000001913,2017-11-20T18:42:22.000+0000,0051I000000RRW1QAO,2017-11-20T19:21:23.000+0000,0051I000000RRW1QAO,2017-11-21T11:17:23.000+0000,2017-11-20T21:03:25.000+0000,2017-11-20T21:03:25.000+0000,a081I0000001qJdQAI,,,,0000001913,,True,,False,False,False,,2017-01-01T18:41:00.000+0000,Positive,&CAQyv7B100000I170a,,,,Customer_Invoice__r.Claim__r.AR_Reason_Code__r.GL_Account__c,,,,Settlement Debit,Customer_Invoice__c,Customer Invoice,False,,CR,False,Settlement,False,False,Settlement,a081I0000001qJdQAI|Customer_Invoice__c||Settlement|Settlement|Settlement Debit|CR||2017-01-01 10:41:00
a071I000001B7vtQAC,0051I000000RRW1QAO,False,AR-0000001912,2017-11-20T18:42:10.000+0000,0051I000000RRW1QAO,2017-11-20T19:22:34.000+0000,0051I000000RRW1QAO,2017-12-01T11:20:53.000+0000,,,a081I0000001qJdQAI,,,,0000001912,,True,,False,False,False,,2017-01-01T18:41:00.000+0000,Positive,&CAQtv7B100000I170a,,,,Customer_Invoice__r.Resolution_Code__r.GL_Account__c,,,,Settlement Debit,Customer_Invoice__c,Customer Invoice,False,,DR,False,Settlement,False,False,Settlement,a081I0000001qJdQAI|Customer_Invoice__c||Settlement|Settlement|Settlement Debit|DR||2017-01-01 10:41:00
a071I000000JxxzQAC,0051I000000ROnuQAG,False,AR-0000000967,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000967,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQzxxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,Payment,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|Payment||DR||2015-09-01 04:04:12
a071I000000Jxy0QAC,0051I000000ROnuQAG,False,AR-0000000968,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000968,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ0yxJ000000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,Payment,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|Payment||CR||2015-09-01 04:04:12
a071I000000Jxy7QAC,0051I000000ROnuQAG,False,AR-0000000975,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000975,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ7yxJ000000I170a,,,,Reason_Code__r.GL_Account__c,,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,General Deduction,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|General Deduction||DR||2015-09-01 04:04:12
a071I000000Jxy8QAC,0051I000000ROnuQAG,False,AR-0000000976,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000976,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ8yxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,General Deduction,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|General Deduction||CR||2015-09-01 04:04:12
a071I000000Jxy9QAC,0051I000000ROnuQAG,False,AR-0000000977,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000977,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ9yxJ000000I170a,,,,Reason_Code__r.GL_Account__c,,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,Invoice Deduction,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|Invoice Deduction||DR||2015-09-01 04:04:12
a071I000000JxyAQAS,0051I000000ROnuQAG,False,AR-0000000978,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000000978,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQAyxJ000000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,Invoice Deduction,False,False,Receipt,a081I0000001qJdQAI|Customer_Receipt__c||Receipt|Invoice Deduction||CR||2015-09-01 04:04:12
a071I000000JxyrQAC,0051I000000ROnuQAG,False,AR-0000001021,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000001021,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQryxJ000000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Payment__c,Supplier Payment,False,,DR,False,Payment,False,False,Supplier Payment,a081I0000001qJdQAI|Supplier_Payment__c||Supplier Payment|Payment||DR||2015-09-01 04:04:12
a071I000000JxysQAC,0051I000000ROnuQAG,False,AR-0000001022,2017-10-03T06:45:18.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,0051I000000ROnuQAG,2017-11-06T05:13:49.000+0000,,,a081I0000001qJdQAI,,,,0000001022,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQsyxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Supplier_Payment__c,Supplier Payment,False,,CR,False,Payment,False,False,Supplier Payment,a081I0000001qJdQAI|Supplier_Payment__c||Supplier Payment|Payment||CR||2015-09-01 04:04:12
