Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Accounting_Standard__c,Allocation_Type__c,Allocation__c,Amount_Reference__c,Autonumber__c,Company_Identifier__c,Company_Ledger__c,Company__c,Consolidation_Ledger__c,Default_GL_Account__c,Default_Intercompany__c,Effective_End_Date__c,Effective_Start_Date__c,Expected_Sign__c,ExtId__c,FX_Date_Path__c,FX_Flow__c,GL_Account_Identifier__c,GL_Account_Reference_Value__c,GL_Account__c,Intercompany_Reference_Value__c,Intercompany__c,Line_Type__c,Object_Name__c,Object__c,Raise_Exceptions_for_Blank_Amounts__c,Role__c,Rule_Type__c,Statutory_Ledger__c,SubTransaction_Type__c,Subsidiary_Ledger__c,Suppress_Zero_Amount_Lines__c,Transaction__c,Unique_Key__c
,,,AR-0000001913,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2017-01-01T18:41:00.000+0000,Positive,&CAQyv7B100000I170a,,,,Customer_Invoice__r.Claim__r.AR_Reason_Code__r.GL_Account__c,,,,Settlement Debit,Customer_Invoice__c,Customer Invoice,False,,CR,False,Settlement,False,False,Settlement,
,,,AR-0000001912,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2017-01-01T18:41:00.000+0000,Positive,&CAQtv7B100000I170a,,,,Customer_Invoice__r.Resolution_Code__r.GL_Account__c,,,,Settlement Debit,Customer_Invoice__c,Customer Invoice,False,,DR,False,Settlement,False,False,Settlement,
,,,AR-0000000967,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQzxxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,Payment,False,False,Receipt,
,,,AR-0000000968,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ0yxJ000000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,Payment,False,False,Receipt,
,,,AR-0000000975,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ7yxJ000000I170a,,,,Reason_Code__r.GL_Account__c,,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,General Deduction,False,False,Receipt,
,,,AR-0000000976,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ8yxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,General Deduction,False,False,Receipt,
,,,AR-0000000977,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,False,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQ9yxJ000000I170a,,,,Reason_Code__r.GL_Account__c,,,,,Customer_Receipt__c,Customer Receipt,False,,DR,False,Invoice Deduction,False,False,Receipt,
,,,AR-0000000978,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&SAQAyxJ000000I170a,,,,,a1I1I0000001kMZUAY,,,,Customer_Receipt__c,Customer Receipt,False,,CR,False,Invoice Deduction,False,False,Receipt,
,,,AR-0000001021,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQryxJ000000I170a,,,,,a1I1I0000001kNCUAY,,,,Supplier_Payment__c,Supplier Payment,False,,DR,False,Payment,False,False,Supplier Payment,
,,,AR-0000001022,,,,,,,,a081I0000001qJdQAI,,,,,,True,,False,True,False,,2015-09-01T11:04:12.000+0000,Positive,&CAQsyxJ000000I170a,,,,,a1I1I0000001kMQUAY,,,,Supplier_Payment__c,Supplier Payment,False,,CR,False,Payment,False,False,Supplier Payment,
