Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,ABC_Code__c,Active__c,Aggregation_Days__c,Approved_Supplier_Required__c,Buyer_Planner__c,Class_Identifier__c,Class__c,Company_Identifier__c,Company_Item_Unique__c,Company__c,Configurable__c,Container_Item__c,Container_Package_Class__c,Container__c,Description__c,Dimension_UOM__c,EOQ__c,ExtId__c,Extended_Description__c,Fulfillment_Source__c,Green__c,Height__c,Item_Attribute__c,Item_Identifier__c,Item_Type__c,Last_Cycle_Count__c,Lead_Time__c,Length__c,Level__c,Next_Cycle_Count_Date__c,Non_Inventory__c,Non_Shippable__c,Ordering_Multiple__c,Packaging_UOM__c,Primary_Key__c,Purchasing_UOM__c,Safety_Stock__c,Shrinkage__c,Source__c,Stocking_UOM__c,Supplier__c,Track_Install_Base__c,Use_Lot_Sizing__c,Weight_UOM__c,Weight__c,Width__c
,,,PT Container,,,,,,,,C,True,,False,,,,,,a0g1I0000005btWQAQ,False,,,,PT Container,,,&EAUjnO7000000I1V1a,,Inventory,NONE,,,,,2017-12-18,,,0.0,,False,False,,"[""a391I000000H9YdQAK""]",,,,0.0,Purchased,a391I000000H9YdQAK,,False,False,,,
,,,Case Container,,,,,,,,C,True,,False,,,,,,a0g1I0000005btWQAQ,False,,,,Case Container,,,&EAUonO7000000I1V1a,,Inventory,NONE,,,,,2017-12-18,,,0.0,,False,False,,"[""a391I000000H9YcQAK""]",,,,0.0,Purchased,a391I000000H9YcQAK,,False,False,,,
,,,Miscellaneous purchase,,,,,,,,C,True,,False,,,a0e1I000000pHZIQA2,,,a0g1I0000005btXQAQ,False,,,,Miscellaneous purchase,,,&YAUVWo5000000I1V1a,,Inventory,NONE,,,,,,,,0.0,,True,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,,0.0,Miscellaneous,a391I000000H9YbQAK,,False,False,,,
,,,Beach Chair with Umbrella,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,Low wood and fabric beach chair with attached umbrella,,,&EAUieW5000000I1V1a,,Inventory,NONE,,,,,,10.0,,3.0,,False,False,,"[""a391I000000H9YbQAK""]",,,30.0,0.0,Manufactured,a391I000000H9YbQAK,,False,True,,,
,,,Seat fabric,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,Pre-cut fabric for beach chair seats,,,&EAUseW5000000I1V1a,,Inventory,NONE,,,,,,5.0,,0.0,,False,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,12.0,0.0,Purchased,a391I000000H9YbQAK,,False,True,,,
,,,Beach chair fasteners,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,Beach chair fasteners,,,&EAU2fW5000000I1V1a,,Inventory,NONE,,,,,,5.0,,0.0,,False,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,,0.0,Purchased,a391I000000H9YbQAK,,False,True,,,
,,,Beach chair slats,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,Wooden slats,,,&EAUneW5000000I1V1a,,Inventory,NONE,,,,,,7.0,,0.0,,False,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,,0.0,Purchased,a391I000000H9YbQAK,,False,True,,,
,,,Umbrella Small,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,Small canvas umbrellas for beach chairs,,,&EAUxeW5000000I1V1a,,Inventory,NONE,,,,,,14.0,,0.0,,False,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,10.0,0.0,Purchased,a391I000000H9YbQAK,,False,True,,,
,,,MISC,,,,,,,,C,True,,False,,,,,,a0g1I0000005btXQAQ,False,,,,MISC,,,&IAUfEk5000000I1V1a,,,NONE,,,,,2017-10-19,,,0.0,,True,False,,"[""a391I000000H9YbQAK""]",,a391I000000H9YbQAK,,0.0,Miscellaneous,a391I000000H9YbQAK,,False,False,,,
,,,Annual Contract,,,,,,,,C,True,,False,,,a0e1I000000qSVVQA2,,,a0g1I0000005btXQAQ,False,,,,Annual beverage contract,,,&EAUqqW6000000I1V1a,,,NONE,,,,,2017-11-15,,,0.0,,True,False,,"[""a391I000000H9YbQAK""]",,,,0.0,One Time Charge,a391I000000H9YbQAK,,False,False,,,
